user,comment
@suyeonkim-on8xt,청양고추 먹고 매워서 불타오르다가 식혜먹고 싸악~ 가라앉는거 넘 귀엽..
@anastasiasusilohati5401,
@kaylabrownell1268,1:01 what's with the snot bubbles? Bleh!
@철영하임,"넘 귀여워
앞으로도 많은 영상 부탁하고 
더 귀여운 모습 부탁할께
따룽해"
@seungmokoo6192,짱귀 여 워
@lachauntiswashington231,This is adorable. ️ I like how proud he was for finishing one cabbage
@김희지-f1n,"피크민 목소리 내면서 하니까 피크민이 하는거 같애(????)
(레알 입니다)"
@캐스팅크라운,아~귀여워 죽겄네∆∆
@Nizam_Alhafidz,
@TV-vz3wb,먹방 귀여워
@pandaalzgana,0:24 0:25
@yul-pny,귀여워서 주기적으로 보러옴 ㅠㅠㅠ 망곰이도 뽀짝한데 효과음도 뽀짝해...하
@안종섭3,귀여운은좋아요에간다
@김유진-m5l9y,쪼꼬만게잘도묵넼ㅋㅋㅋㅋㅋ
@Nis21758,so cute!
@taicutehotme1857,
@devinayasmin1988,なまかはまなやかゆたはやらをまらゎな。わ。ゃゃゎゎゎやにまはたらな
@Maylamêchơibáo,꼬마 곰이 너무 귀여워요.
@SsKkk-hs6si,아앍 넘 귀여워...!
@teteo6075,나는 그것을 좋아했다
@이정예-n1d,
@챔오리,1:34 보면은 훌라훌라 댄스 커엽..!
@討厭吃青菜的貓,So cute!!!!
@종한석,고릴라 왕이샘
@꾸꾸까까_TV,1:51 이 때 넘 귀여워 ㅠㅠ
@이루hyujoo,내 삶의 유일한 행복이 망곰 보는거
@김다난나,김장할때 자기도 한다고 와아아아아아아앙 뛰는거 대박
@이계숙-t5t,귀엽긴 한데 왜 이렇게 잘 먹냐레알ㅋㅋㅋㅋㅋㅋㅋ
@리더스어린이집-y4j,우는모습넘귀엽
@구기회-n1g,요....
@구기회-n1g,옷 달려요 그리고 다 똑같아
@구기회-n1g,우리 집에 저거 인형 있어요
@모찌-d6s,아구 마시써
@형보은-q5d,망곰이가 귀엽다면
@이종원-c3d,귀여워 ㅋㅋㅋ
@성원김-n1t,귀여워어어어어어어어어어어어어어어어어어어어엉
@Anetamelanie,
@TV-ut1mc,동영상도 많이 올려주세요!
@두연-c9j,몇번을 봐도 힐링된다️
@oworu15,Cute
@효주임다,심장폭행죄로 신고할게요;;
@네코해린,너무 귀여워><
@심인식-v2f,엄청 귀엽네요
@rishitasonowal1226,The voice is so cute
@AnimasiMukbang-c3w,https://youtu.be/eHQZ-3nuxLc?si=27QFgMxQxlK9KHw8
@Choonsamss,이런 한국적인 소재 잘 살린거 너무 젛아요 망곰아 우주대스타가 되어라
@박재광-h9p,귀여워
@김유진-m5l9y,귀여워
@송지은-v5q,울엄마나빠!
@FunkyToons-j2p,Every second of this was enjoyable.
@닉네임-f8d,0:50 상대팀 고인물일때
@박정수-b9c,"너무 사랑스러운 것!
께무러주고 심내ㅎㅎ"
@김안나-s7r,1:34
@김안나-s7r,1:
@김안나-s7r,추가
@raijinvillapana4226,2:34  かさはなたやはさかひやにひかなやはひなゆらか
@박소영-u9g,귀여워
@Christmas_is_my_fav,So cute!!!!
@sukmaseptia7923,
@김안나-s7r,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
@김안나-s7r,이거 뭐예요
@밸비,김장할때 양념을 한쪽에만 바르나 난 앞뒤로 다 발랐는데
@설렘업고튀어,촌캉스 조끼가 너무 귀여워ㅋㅋㅋ 목소리도 졸귀다 (*´ ˘ `*)
@필담-v2e,"아, 입덕합니다. 그림체와 먹방, 효과음 전부 제 마음을 사로잡았어요."
@nicolearias4076,Yummi
